,fname,BHAR_Short_label,EP_label,label_env,label_eps,BHAR_label,Form,Log_MarketCap,Industry_numeric
0,20160429_10-Q_edgar_data_28412_0000028412-16-000221_1.txt,0.0,0,0,1,0,10-Q,22.774301268280063,1
1,20170228_10-K_edgar_data_51143_0001047469-17-001061_1.txt,0.0,0,0,0,0,10-K,25.864828018720186,2
2,20180427_10-Q_edgar_data_743316_0000743316-18-000021_1.txt,1.0,0,0,0,1,10-Q,23.44716585018251,2
3,20180503_10-Q_edgar_data_1156375_0001156375-18-000047_1.txt,0.0,1,1,0,1,10-Q,24.702336337777236,1
4,20160719_10-Q_edgar_data_29989_0000029989-16-000028_1.txt,0.0,0,0,0,1,10-Q,23.70430918451797,4
5,20170216_10-K_edgar_data_1091667_0001091667-17-000030_1.txt,0.0,0,0,0,1,10-K,25.331721390200432,3
6,20161116_10-K_edgar_data_32604_0000032604-16-000105_1.txt,0.0,0,0,0,0,10-K,24.288095958422605,2
7,20180803_10-Q_edgar_data_72207_0000072207-18-000060_1.txt,0.0,1,1,1,0,10-Q,23.488941783412923,5
8,20160803_10-Q_edgar_data_1021860_0001193125-16-670055_1.txt,1.0,0,0,0,1,10-Q,23.235580012237318,2
9,20150715_10-Q_edgar_data_27904_0000027904-15-000010_1.txt,0.0,1,1,0,1,10-Q,24.278315908326896,3
10,20180502_10-Q_edgar_data_48039_0000048039-18-000036_1.txt,1.0,0,0,1,1,10-Q,23.15542601418773,2
11,20150430_10-Q_edgar_data_1524472_0001524472-15-000009_1.txt,0.0,0,1,1,0,10-Q,22.6275145469846,2
12,20150313_10-K_edgar_data_27419_0000027419-15-000012_1.txt,1.0,0,0,1,1,10-K,24.65141562004505,8
13,20160223_10-K_edgar_data_1418135_0001418135-16-000050_1.txt,0.0,0,1,0,0,10-K,23.571255396568663,2
14,20150205_10-K_edgar_data_1113169_0001113169-15-000007_1.txt,1.0,0,1,0,1,10-K,23.78264974159224,1
15,20150319_10-Q_edgar_data_1048911_0001193125-15-098477_1.txt,0.0,1,1,0,0,10-Q,24.6218204311474,3
16,20171109_10-Q_edgar_data_818479_0000818479-17-000031_1.txt,0.0,1,1,0,0,10-Q,23.435176005446703,2
17,20170728_10-Q_edgar_data_106535_0000106535-17-000045_1.txt,0.0,0,0,1,1,10-Q,23.934184680838843,1
18,20140502_10-Q_edgar_data_18230_0000018230-14-000177_1.txt,0.0,0,0,1,0,10-Q,24.906091257607887,2
19,20140512_10-Q_edgar_data_1002910_0001002910-14-000087_1.txt,1.0,0,1,1,0,10-Q,22.96419873535191,3
20,20170804_10-Q_edgar_data_97745_0000097745-17-000041_1.txt,0.0,1,1,0,1,10-Q,24.9543209080436,2
21,20170223_10-K_edgar_data_1039101_0001567619-17-000284_1.txt,1.0,0,1,0,0,10-K,23.284332087976203,2
22,20170728_10-Q_edgar_data_101829_0000101829-17-000034_1.txt,1.0,0,0,0,0,10-Q,25.276617545399265,2
23,20170802_10-Q_edgar_data_92122_0000092122-17-000065_1.txt,0.0,0,0,1,0,10-Q,24.626093007997326,3
24,20170426_10-Q_edgar_data_217346_0001104659-17-026335_1.txt,0.0,0,0,1,0,10-Q,23.258671547051566,2
25,20160803_10-Q_edgar_data_1410636_0001564590-16-022379_1.txt,0.0,0,0,1,0,10-Q,23.393291391189454,3
26,20180502_10-Q_edgar_data_46080_0000046080-18-000079_1.txt,1.0,0,0,1,0,10-Q,23.104972311785204,2
27,20170721_10-Q_edgar_data_1065088_0001065088-17-000029_1.txt,1.0,0,0,1,0,10-Q,24.391540747915585,4
28,20150220_10-K_edgar_data_1365135_0001365135-15-000008_1.txt,1.0,1,1,0,1,10-K,23.03996156501139,4
29,20150805_10-Q_edgar_data_1168054_0001558370-15-001399_1.txt,1.0,0,1,0,1,10-Q,23.04689085029732,5
30,20151119_10-K_edgar_data_882184_0000882184-15-000085_1.txt,1.0,0,0,0,1,10-K,23.19310858542014,6
31,20140430_10-Q_edgar_data_10456_0001193125-14-172755_1.txt,1.0,1,1,0,0,10-Q,24.39946138434076,2
32,20180809_10-Q_edgar_data_1095073_0001095073-18-000029_1.txt,1.0,0,0,1,1,10-Q,22.89716488819242,1
33,20180108_10-Q_edgar_data_1087423_0001087423-18-000003_1.txt,1.0,0,0,0,1,10-Q,23.821676911573817,4
